Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
2,1,27,1,1,2076,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1,2
2,1,35,2,2,775,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0,1
1,1,60,2,2,861,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10,1
1,2,38,1,1,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26,1
2,2,23,1,2,446,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0,1
2,2,39,1,1,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0,1
2,2,25,1,2,646,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1,2
1,1,48,1,1,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0,2
2,1,25,1,1,1426,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0,2
2,1,46,1,1,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0,2
2,1,50,1,2,308,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12,1
1,1,53,1,1,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0,2
2,1,30,1,3,205,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49,1
2,2,39,1,1,895,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2,2
1,2,25,1,1,1435,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1,2
2,1,52,1,1,1190,2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6,1
2,1,26,1,1,3960,1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48,2
1,2,25,1,2,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0,1
1,2,44,1,1,1670,3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8,1
1,1,57,2,3,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0,1
2,1,44,2,2,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0,1
2,1,45,1,1,3100,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0,2
2,2,13,1,2,525,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0,1
1,2,41,1,1,304,5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19,2
2,1,30,1,1,1896,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72,1
1,1,51,1,3,261,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0,2
1,1,39,2,2,1773,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18,1
2,1,19,2,1,342,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0,1
1,2,42,1,1,883,3,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27,2
2,2,22,1,1,231,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0,2
1,2,26,1,2,488,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0,1
2,1,32,1,1,1750,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0,1
2,1,45,1,1,1852,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0,2
2,2,26,1,2,416,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9,1
2,1,28,1,2,337,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0,1
2,1,45,1,1,1400,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9,1
2,1,22,2,2,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0,1
2,1,8,1,2,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0,2
1,1,21,1,1,3510,3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0,1
1,1,44,2,2,326,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0,1
2,1,24,1,1,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0,1
2,1,67,1,1,2659,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0,1
1,1,56,1,1,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0,1
2,2,24,1,2,791,3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6,1
2,1,46,1,1,1786,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7,1
1,1,47,1,1,3465,1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15,1
1,1,50,1,1,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0,2
1,1,31,2,2,760,4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27,1
2,2,24,1,2,446,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0,1
1,1,57,1,1,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0,1
2,2,20,1,2,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0,2
1,1,51,2,2,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0,1
1,1,24,2,2,1660,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2,1
1,1,17,1,2,606,5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15,2
1,1,39,1,1,1487,3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0,2
1,1,49,1,1,317,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0,2
1,1,48,2,2,844,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1,1
2,1,52,1,1,3747,5,5,5,5,2,4,5,4,4,4,4,5,4,5,24,20,2
1,1,25,1,1,2748,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0,2
1,1,16,1,1,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0,1
2,1,58,1,1,1717,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0,2
2,2,8,1,1,1117,4,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7,1
1,1,69,2,2,1546,1,5,1,2,4,3,4,1,1,1,1,4,1,3,1,26,1
2,1,41,1,1,1052,2,2,2,2,4,4,4,4,4,4,4,3,4,4,6,0,2
2,1,31,1,2,361,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0,1
2,1,43,1,1,1950,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0,2
1,1,52,2,2,719,1,5,2,2,3,5,5,3,3,2,3,3,3,3,0,17,1
1,1,13,2,1,337,2,3,2,3,1,2,1,1,4,5,2,5,5,1,0,18,1
1,1,45,1,1,3732,5,5,5,5,5,5,5,5,5,5,5,3,5,4,17,0,2
1,1,43,1,1,3854,5,5,5,5,5,4,4,5,5,5,5,5,5,3,0,0,2
2,1,53,1,2,977,2,4,2,4,2,2,2,2,3,2,3,2,3,2,20,17,1
2,1,23,1,1,3073,4,4,1,4,5,5,5,5,1,3,1,3,3,5,0,3,2
1,1,16,2,2,1379,2,5,2,2,2,2,2,2,5,2,4,3,5,2,2,0,2
2,1,23,1,2,631,2,2,2,2,2,1,1,2,3,5,4,3,4,2,0,8,1
2,1,45,2,2,666,2,5,2,4,4,2,4,4,4,5,5,4,5,4,0,0,1
1,1,46,1,1,2820,2,2,2,2,2,1,2,5,5,5,5,2,5,3,1,0,2
1,1,49,2,2,577,2,5,2,2,3,4,5,1,1,2,1,4,1,3,23,2,1
1,1,19,1,1,2172,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0,2
2,1,50,2,3,1448,2,3,2,5,4,2,4,4,4,3,4,3,1,4,20,4,1
1,1,41,1,1,3238,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0,2
1,1,28,1,1,862,5,5,5,5,5,5,5,5,2,3,1,1,2,5,9,5,2
1,1,65,2,2,578,2,4,3,4,2,4,4,3,3,3,3,4,3,3,99,101,1
2,1,30,2,3,163,3,5,3,2,1,3,1,1,4,2,4,5,5,1,9,11,1
2,2,23,1,2,416,5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4,2
2,1,23,1,1,3095,5,5,5,5,5,5,3,5,2,5,4,3,3,5,9,0,2
2,1,32,1,1,738,4,4,4,4,4,4,4,4,4,2,4,3,3,4,0,3,1
2,1,67,2,2,719,3,3,3,4,1,3,1,1,2,2,3,1,5,1,24,14,1
2,1,65,2,1,226,1,4,1,1,5,5,4,4,4,1,4,5,4,3,37,20,1
2,1,60,1,1,2371,4,4,4,4,2,4,5,4,4,4,4,3,4,3,66,61,2
1,1,31,1,1,551,3,1,1,1,3,3,3,3,3,4,3,4,4,3,53,48,2
1,2,26,1,2,1055,3,3,3,4,4,3,4,4,3,5,4,2,4,4,0,0,1
2,1,72,1,2,305,4,3,3,3,4,4,4,4,2,3,3,1,3,4,0,0,1
2,1,51,1,1,3090,2,4,4,4,3,3,4,2,2,2,2,4,2,1,0,0,1
1,2,26,1,2,804,2,2,2,3,4,2,3,4,1,4,4,1,4,4,7,0,2
1,1,72,1,3,67,2,5,3,5,2,3,4,3,3,2,3,4,3,3,28,18,1
1,1,22,1,1,2809,2,2,2,2,5,5,5,5,3,4,4,5,4,5,36,28,1
1,1,53,2,2,552,4,4,4,1,4,5,4,5,5,4,5,4,5,5,0,0,1
1,1,46,2,1,119,4,0,4,1,5,5,4,4,4,4,4,3,4,3,13,32,1
1,1,35,1,1,1658,2,2,5,2,1,2,1,5,5,5,3,3,5,3,6,6,1
1,2,26,1,1,114,4,0,5,3,4,5,4,4,4,2,5,4,4,4,0,13,2
2,1,58,1,1,813,1,1,1,1,5,5,5,3,3,3,3,5,3,3,0,0,2
2,1,30,1,1,3131,1,1,1,1,5,4,5,5,5,5,4,5,5,5,7,0,2
1,1,69,1,2,735,1,4,4,4,3,3,4,1,1,1,1,4,1,2,12,4,1
1,1,22,1,1,1722,2,5,5,5,2,2,2,2,2,4,3,3,3,2,0,53,2
2,1,8,2,3,1201,2,5,2,3,3,2,3,3,4,2,1,5,5,3,24,14,1
1,2,37,1,1,372,5,5,5,4,4,5,4,4,4,4,5,3,4,4,11,0,2
1,1,46,2,2,2586,3,1,3,3,3,4,4,2,4,4,3,4,1,4,59,57,1
2,1,46,1,1,2423,4,4,4,4,2,4,4,4,4,4,4,5,4,5,1,0,2
1,1,36,1,1,3130,2,2,2,2,5,5,5,5,5,5,5,5,5,3,62,65,1
2,1,60,1,1,2198,3,3,3,3,3,4,4,4,4,4,4,3,4,3,23,4,2
2,1,23,1,3,602,2,5,5,5,2,2,1,2,3,4,4,4,4,2,21,44,2
2,1,52,2,2,685,4,4,4,5,4,4,4,4,3,4,5,5,4,4,0,0,2
2,1,36,1,2,1208,4,5,5,5,4,4,4,4,2,1,2,2,3,4,3,0,2
2,1,41,1,1,2789,3,3,2,3,4,3,3,4,4,3,4,3,4,5,10,0,2
2,1,45,1,1,3305,2,2,2,2,3,5,5,4,4,4,4,4,4,3,8,0,2
1,1,45,1,1,3712,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,2
1,1,56,2,2,1431,3,5,3,3,4,5,5,1,1,3,1,2,1,5,91,76,1
2,1,48,1,2,1107,4,5,5,5,4,4,4,4,3,5,4,1,2,4,0,0,2
2,1,42,1,1,3665,5,5,5,5,5,5,4,4,4,4,4,4,4,3,83,92,2
1,1,52,1,1,2917,5,5,5,5,5,5,5,3,4,4,4,5,3,5,15,32,2
1,1,18,2,3,549,2,5,2,3,2,2,2,2,5,5,4,5,4,2,0,0,1
2,1,30,1,1,1500,3,3,3,3,5,4,5,5,4,3,4,3,5,5,0,0,1
2,2,21,1,1,255,5,0,5,1,2,5,2,2,5,4,5,3,4,2,0,0,2
1,1,29,2,2,119,2,2,2,2,5,2,2,5,4,5,3,2,3,5,0,0,1
2,1,28,1,1,1087,1,1,3,1,5,5,5,5,3,2,4,5,5,5,0,0,2
2,1,25,1,1,3465,2,4,4,4,2,2,2,2,4,5,3,4,3,2,0,0,1
1,1,44,1,1,1707,5,5,5,5,5,5,3,5,5,5,5,2,5,3,0,0,2
1,1,23,2,3,1372,3,5,3,1,1,3,1,1,3,2,3,4,5,1,0,0,1
2,2,20,1,1,369,5,3,5,4,1,5,1,1,5,2,4,4,4,1,0,0,2
2,1,8,2,2,552,4,3,4,1,3,4,3,3,3,2,2,3,5,3,0,11,1
2,1,43,1,2,1005,4,4,4,4,5,4,5,5,4,1,4,3,3,5,0,1,1
1,1,72,1,1,1870,2,1,1,1,3,4,4,2,2,2,2,1,2,4,0,0,1
1,1,48,1,2,896,2,4,4,4,4,2,4,2,2,2,2,5,2,1,12,8,2
2,1,25,1,1,1796,4,2,2,2,4,4,4,1,5,3,3,4,2,4,176,164,2
2,2,26,1,2,842,1,1,1,2,5,1,5,5,1,3,3,4,2,5,38,28,1
2,1,55,2,1,432,4,4,2,1,5,4,4,3,3,2,2,4,3,5,0,0,1
1,2,23,1,2,577,0,0,1,1,5,1,5,5,4,2,4,2,1,5,0,0,2
2,1,50,1,1,1877,2,4,4,4,5,4,4,2,2,2,2,1,2,4,0,0,1
2,1,39,1,2,1056,5,3,3,3,5,5,5,5,3,2,4,5,2,5,20,9,2
2,1,28,1,1,101,2,1,1,1,2,2,2,2,2,2,3,2,4,2,0,0,1
1,1,44,2,2,73,2,3,2,3,4,3,4,1,1,2,1,2,1,1,0,32,1
2,1,9,2,2,936,5,5,4,2,4,4,4,4,5,4,5,5,5,4,22,22,1
1,1,37,2,2,255,3,1,3,4,3,3,3,3,1,4,4,1,3,3,0,0,1
2,1,22,1,1,2027,2,2,2,2,4,4,4,4,5,3,4,4,4,4,7,2,2
2,1,55,1,1,936,3,3,3,3,5,5,5,3,3,3,3,5,3,5,0,0,2
1,1,46,1,1,888,3,3,3,3,5,4,4,4,4,4,4,3,4,4,0,0,2
2,1,62,2,2,1061,0,5,0,3,5,0,5,5,4,4,5,5,5,5,0,0,2
1,1,53,1,1,216,5,5,4,5,5,5,4,5,5,5,5,5,5,4,0,0,2
1,1,50,1,1,1814,3,3,3,3,2,5,4,5,5,5,5,5,5,4,0,0,2
1,1,42,1,1,199,1,1,1,1,5,4,5,5,5,5,4,5,5,5,0,0,2
2,1,17,2,2,802,2,5,2,2,4,2,4,4,2,5,3,1,4,4,0,5,1
1,1,53,1,1,581,1,1,1,1,3,4,4,4,4,4,4,3,4,3,1,0,2
1,1,37,1,3,174,5,3,5,3,5,5,5,5,5,1,5,3,5,5,0,0,1
2,1,35,1,2,326,4,2,2,2,4,4,4,4,2,5,5,5,3,4,0,0,2
2,1,30,1,1,1821,1,1,1,1,2,2,1,2,1,2,2,4,2,2,5,7,1
1,1,16,2,2,1437,1,5,0,4,5,0,5,5,3,3,4,4,4,5,0,0,1
2,1,46,1,1,3995,4,4,4,4,3,4,4,5,5,5,5,5,5,4,0,0,2
1,1,12,2,2,944,2,2,2,4,1,2,1,1,1,4,4,1,4,1,20,15,1
2,1,25,1,1,496,4,4,4,4,4,4,4,4,3,2,5,4,5,4,0,0,2
1,1,63,1,1,329,2,2,2,2,5,1,5,4,4,4,4,4,4,3,0,0,2
2,1,44,2,2,192,2,4,2,5,4,2,4,4,3,1,4,1,2,4,0,0,1
2,1,60,2,2,491,1,3,1,3,5,1,5,5,3,2,2,5,1,5,22,49,1
1,1,43,1,1,373,2,5,2,2,2,5,4,5,5,5,5,5,5,3,0,0,2
1,1,48,1,3,907,4,2,2,2,5,5,3,4,4,4,4,2,4,5,0,1,1
2,2,25,1,2,1258,3,3,3,3,3,2,2,1,2,3,3,2,1,2,199,185,1
2,1,25,2,2,550,2,2,2,3,1,2,1,1,4,2,4,4,5,1,56,63,1
1,1,35,1,1,602,4,4,4,4,3,5,5,2,2,2,2,5,2,4,0,0,2
2,1,52,1,1,3245,4,4,4,4,2,3,3,5,5,5,5,4,5,3,93,77,2
1,1,17,1,2,677,0,3,0,3,4,3,4,4,4,5,5,5,5,4,0,0,2
1,1,30,2,2,1616,2,4,3,1,1,3,1,1,3,2,4,4,5,1,70,89,1
1,1,38,1,1,285,5,5,5,5,1,1,3,4,4,4,4,5,4,5,0,0,2
1,2,38,1,1,1189,1,1,1,3,3,1,3,3,5,5,5,3,5,3,3,0,1
1,1,39,1,1,2442,5,4,5,5,2,4,4,4,4,4,4,4,4,4,80,86,2
1,1,9,2,3,804,1,5,1,3,1,1,1,1,5,2,5,3,5,1,0,0,1
2,1,51,1,1,3991,5,5,5,5,3,4,5,4,4,3,4,5,4,3,0,0,2
2,1,40,1,1,1620,2,2,2,2,4,3,4,5,5,5,5,4,5,5,0,0,2
2,1,56,1,1,1173,3,3,5,3,4,4,4,3,3,3,3,3,3,1,0,0,1
1,1,18,2,2,134,2,2,2,3,3,2,4,3,2,4,3,4,3,3,0,0,1
2,1,33,1,3,654,4,3,3,3,4,4,4,4,4,5,2,1,3,4,0,0,2
2,1,46,1,1,2623,3,3,3,3,3,5,4,5,5,5,5,3,5,5,0,0,2
1,1,36,1,1,257,3,3,3,3,4,4,3,4,4,4,4,1,4,1,0,0,2
2,1,26,1,1,1629,1,1,1,1,5,5,5,5,4,4,2,3,3,5,0,0,2
2,1,31,1,1,2201,5,5,5,5,2,2,2,2,5,3,3,3,1,2,0,0,2
2,1,24,2,2,836,2,4,2,1,1,2,1,1,5,4,1,1,2,1,27,54,1
1,1,39,1,1,3081,5,5,5,5,2,5,4,2,2,2,2,3,2,4,7,0,2
1,2,20,1,2,859,3,4,4,3,4,4,4,4,3,1,3,2,3,4,3,24,1
1,1,69,2,2,1055,2,5,2,1,3,4,5,2,2,2,2,5,2,3,29,17,1
1,2,27,1,2,399,1,0,1,4,5,1,5,5,5,1,3,2,1,5,0,0,1
1,1,10,1,2,632,3,4,4,4,3,3,2,3,3,2,4,4,4,3,44,40,1
2,1,44,1,1,833,2,2,2,2,3,5,4,4,4,4,4,3,4,4,15,1,2
1,1,46,1,2,645,3,2,2,2,3,3,3,2,1,2,4,3,3,3,141,139,1
2,1,54,1,2,515,3,2,2,2,3,3,3,3,4,3,3,2,3,3,44,33,1
1,2,44,1,1,288,5,5,5,5,4,5,4,4,4,5,4,4,4,4,0,0,2
1,2,26,1,1,1024,4,4,4,1,5,4,5,5,3,2,4,4,5,5,16,14,1
2,1,48,1,1,3185,2,2,2,2,5,5,4,5,5,5,5,5,5,5,0,0,2
2,2,23,1,2,1428,2,2,2,2,2,2,2,2,4,3,5,3,4,2,0,7,1
1,1,48,2,2,296,2,5,4,3,4,4,4,2,2,4,2,3,2,3,0,0,1
2,1,63,2,2,391,3,4,3,5,5,3,4,5,3,4,5,3,5,5,0,4,1
2,1,37,1,1,3744,5,5,5,5,5,5,5,5,4,4,4,5,4,5,172,163,2
2,1,37,1,1,1558,4,1,1,1,1,3,4,4,4,3,4,1,4,3,0,8,2
2,1,21,2,2,1947,2,4,2,3,1,2,1,1,4,2,3,5,4,1,0,0,1
2,1,9,1,2,776,2,2,2,2,2,2,4,2,1,1,3,1,3,2,16,6,2
1,1,24,1,1,3536,5,5,5,5,4,4,4,4,3,5,5,3,5,4,0,0,2
2,1,44,1,1,3165,2,2,2,2,4,5,5,4,4,4,4,5,4,3,0,0,1
1,1,49,1,1,1600,2,5,5,5,4,4,4,0,0,1,2,2,0,3,0,0,1
1,1,52,2,2,247,4,4,0,2,5,4,4,5,5,0,5,3,5,3,0,0,2
2,1,52,1,2,550,2,4,4,4,2,2,2,2,3,5,3,4,3,2,0,0,1
2,1,20,2,2,446,4,3,4,3,1,4,1,1,3,4,4,2,4,1,0,0,1
2,1,47,1,1,728,1,1,1,1,1,3,2,5,5,5,5,1,5,3,0,0,2
2,1,45,1,1,3692,2,2,2,2,1,2,2,2,2,2,2,3,2,4,63,52,1
1,1,44,1,1,3979,4,4,4,4,3,5,5,4,4,4,4,3,4,3,0,0,1
1,1,47,1,1,3546,2,2,2,2,4,2,2,2,2,2,2,2,2,2,19,21,1
1,1,57,1,1,177,5,5,5,5,1,1,1,5,5,5,3,4,5,5,91,128,2
1,1,26,1,2,2378,4,5,5,5,4,5,5,4,3,2,5,4,5,4,4,0,2
2,2,22,1,2,251,1,0,1,3,2,1,3,2,4,2,5,4,3,2,0,0,1
2,1,60,2,2,624,4,3,4,1,4,4,4,1,2,5,2,4,5,4,175,180,2
2,1,40,1,1,3764,1,1,1,1,4,5,4,4,4,5,4,4,4,3,16,3,1
2,1,62,1,2,696,3,3,5,3,2,3,2,2,2,5,2,3,2,2,24,1,1
1,1,68,2,2,746,3,5,3,2,5,5,5,2,2,3,2,4,2,3,27,37,1
2,1,11,2,2,507,3,5,3,1,1,3,1,1,4,4,4,5,5,1,11,5,1
2,1,34,1,1,3144,4,4,4,4,3,5,4,5,5,5,5,5,5,1,3,0,2
1,1,49,1,1,90,4,4,2,4,3,4,4,4,4,4,4,4,4,3,0,0,2
2,1,30,1,3,204,2,5,5,5,2,2,2,2,3,5,4,2,4,2,105,93,1
2,1,68,2,2,406,3,3,3,2,3,3,3,3,5,3,3,4,5,3,0,0,1
1,1,53,1,3,676,2,5,5,5,5,4,4,2,2,2,2,1,2,3,0,0,1
1,1,65,2,1,1042,4,5,4,4,3,5,4,4,4,4,2,5,4,5,48,30,1
2,1,50,2,2,1635,1,5,1,3,4,1,4,4,3,5,5,3,4,4,0,4,1
2,1,26,2,3,2556,3,2,3,3,3,4,4,4,1,2,4,4,4,4,0,33,1
1,1,57,1,2,649,4,4,4,4,4,1,3,4,4,4,4,5,4,3,27,17,2
1,2,38,1,1,1389,5,5,5,1,2,5,2,2,4,5,5,3,4,2,3,0,1
1,1,42,1,1,1846,1,2,2,2,5,2,3,1,1,1,1,2,1,4,0,0,1
2,2,26,1,1,285,1,2,1,2,3,1,3,3,4,2,3,1,2,3,0,3,1
1,1,32,1,2,163,2,4,4,4,2,2,2,2,3,2,4,2,3,2,0,0,1
1,1,46,1,1,2502,2,2,2,2,3,1,3,4,4,4,4,3,4,5,5,0,2
2,1,19,1,2,337,4,2,2,2,4,4,3,4,4,4,3,4,3,4,12,17,1
2,1,19,2,2,888,2,4,2,3,1,2,1,1,4,4,4,5,4,1,1,0,1
2,1,45,1,1,3052,1,1,5,1,3,5,4,3,3,3,3,5,3,3,0,0,2
2,2,25,1,2,2585,3,3,3,4,3,3,3,3,2,5,4,3,4,3,0,0,1
1,1,68,2,2,666,4,3,4,2,1,5,2,1,1,4,1,5,1,5,2,0,1
1,1,64,1,1,3239,3,5,3,3,3,5,4,4,4,5,4,3,4,3,0,0,1
2,1,28,1,1,3545,2,2,2,2,5,4,5,5,2,1,5,3,5,5,45,51,2
2,2,30,1,2,813,3,2,2,3,3,2,3,3,4,1,4,3,3,3,105,105,2
2,1,23,1,1,1698,2,2,2,2,5,5,5,5,3,2,1,4,3,5,101,126,2
2,1,54,1,1,544,2,2,2,2,5,5,5,4,4,4,4,4,4,5,0,0,1
1,1,40,1,1,3011,5,5,5,5,4,5,5,5,5,4,5,5,5,4,9,56,2
2,1,47,1,2,783,5,2,2,2,5,5,5,5,4,1,1,4,5,5,0,0,2
1,2,24,1,1,255,5,0,5,1,3,5,4,3,5,3,4,4,5,3,0,0,2
1,1,25,2,2,140,3,3,3,4,4,3,4,4,4,2,3,1,4,4,27,31,1
1,1,38,1,1,2472,5,5,3,5,3,4,4,5,5,5,5,3,5,5,0,0,2
2,2,38,1,1,130,4,4,4,4,1,4,1,1,4,3,4,3,5,1,15,8,1
1,1,64,2,2,1158,1,4,0,1,4,5,5,4,4,0,4,4,4,3,0,0,2
2,1,46,1,1,2074,4,4,4,4,3,3,2,4,4,3,4,4,4,3,27,45,1
1,1,53,1,1,1744,3,3,3,3,4,3,5,2,2,2,2,4,2,4,0,4,2
2,1,48,2,2,1703,4,4,4,1,4,4,4,4,5,2,1,4,5,4,45,40,1
1,1,9,2,2,883,4,5,3,1,1,3,1,1,4,4,3,3,1,1,28,19,1
2,1,39,1,1,1979,3,3,3,3,3,5,4,4,4,4,4,3,4,3,0,0,2
2,1,16,2,2,306,2,4,2,1,5,2,5,5,3,2,5,5,4,5,76,73,1
2,1,29,2,2,992,2,4,2,3,5,2,5,5,4,3,5,4,4,5,0,10,1
2,1,51,1,1,3304,2,2,2,2,5,5,5,5,5,5,5,4,5,5,0,0,2
2,1,51,1,1,1084,5,5,5,5,3,5,4,4,4,4,4,5,4,4,0,0,2
1,1,50,1,1,2335,5,5,5,5,4,5,5,4,4,5,4,5,4,3,0,0,2
2,1,48,1,1,1851,1,2,1,1,2,5,5,4,4,4,4,5,4,4,0,0,2
2,1,50,1,1,3960,4,4,4,4,3,5,4,5,5,5,4,4,5,5,0,1,2
2,2,20,1,2,1269,2,2,2,4,3,2,3,3,3,3,3,3,4,3,0,0,1
2,2,10,2,2,192,2,5,2,2,2,2,5,2,3,2,4,5,4,2,3,4,2
2,1,64,2,2,1728,4,1,4,3,1,4,1,1,3,1,3,2,4,1,18,24,2
2,1,58,2,2,541,2,2,2,3,1,2,1,1,4,4,4,3,4,1,4,0,1
1,1,55,1,1,1440,2,2,2,2,5,4,5,5,5,5,5,5,5,3,0,0,2
