Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
2,1,53,1,1,2332,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3,2
2,1,36,1,1,3024,4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13,1
2,1,32,1,1,1750,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0,1
2,1,52,2,2,689,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0,2
2,1,28,1,2,337,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0,2
2,1,62,2,2,2521,4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30,1
2,1,51,1,1,308,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8,2
2,1,22,2,2,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0,1
2,1,8,1,2,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0,2
1,1,22,2,2,549,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3,1
2,1,31,1,1,1620,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0,1
1,1,44,2,2,326,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0,1
1,1,47,1,1,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0,1
2,1,67,1,1,2659,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0,1
2,1,32,1,1,3037,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0,2
1,1,58,2,2,2475,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10,2
1,1,56,1,1,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0,1
1,1,58,2,1,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0,1
2,1,68,2,2,480,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6,1
1,2,29,1,1,1035,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0,1
1,1,42,2,2,728,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3,1
1,1,57,1,1,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0,2
2,2,20,1,2,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0,2
1,1,51,2,2,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0,1
1,1,24,2,2,1660,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2,1
1,1,17,1,2,606,5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15,1
1,1,48,2,2,844,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1,1
2,1,52,1,1,3747,5,5,5,5,2,4,5,4,4,4,4,5,4,5,24,20,2
1,1,25,1,1,2748,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0,1
1,1,16,1,1,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0,1
2,1,58,1,1,1717,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0,2
2,2,8,1,1,1117,4,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7,1
2,1,42,1,1,1372,3,3,5,3,4,4,4,5,4,5,4,4,3,4,141,125,2
1,1,52,1,1,2768,4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0,1
1,1,47,1,2,370,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0,1
1,1,41,1,1,3636,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0,2
1,1,40,2,2,1325,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9,1
1,1,56,2,2,2556,1,4,1,3,3,3,1,5,5,1,5,1,5,2,0,0,1
1,1,40,1,2,773,3,4,4,4,3,3,3,3,2,5,4,4,4,3,15,26,1
2,1,12,2,1,817,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0,1
2,1,59,2,2,516,4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0,2
1,1,52,2,2,719,1,5,2,2,3,5,5,3,3,2,3,3,3,3,0,17,1
1,1,13,2,1,337,2,3,2,3,1,2,1,1,4,5,2,5,5,1,0,18,1
1,1,43,1,1,3854,5,5,5,5,5,4,4,5,5,5,5,5,5,3,0,0,2
2,1,23,1,2,631,2,2,2,2,2,1,1,2,3,5,4,3,4,2,0,8,2
1,1,46,1,1,2820,2,2,2,2,2,1,2,5,5,5,5,2,5,3,1,0,1
1,1,40,1,1,2808,4,3,3,3,3,3,4,3,3,3,4,4,3,3,7,2,2
1,1,19,1,1,2172,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0,1
1,1,64,1,1,1773,2,4,3,4,5,3,3,2,2,3,2,4,2,4,0,0,1
1,1,38,1,1,3753,2,2,2,2,1,1,5,4,4,4,4,4,4,1,0,0,2
2,1,41,2,2,214,1,4,1,2,2,1,1,2,4,3,5,4,5,2,16,34,1
2,1,29,2,2,1020,1,4,1,4,1,1,1,1,3,3,3,4,3,1,0,0,1
2,1,47,1,3,368,5,1,2,1,4,5,4,4,5,5,2,4,3,4,0,0,2
2,1,50,2,3,1448,2,3,2,5,4,2,4,4,4,3,4,3,1,4,20,4,2
1,1,20,2,2,545,2,0,2,3,5,2,1,5,3,4,3,3,1,5,4,0,1
1,1,36,2,2,2715,2,3,2,3,2,3,2,4,5,3,3,2,3,2,0,0,1
2,1,49,1,1,337,3,4,3,3,4,5,5,4,4,4,4,5,4,3,10,0,2
1,1,43,1,1,3004,3,3,3,3,2,4,3,2,2,2,3,1,2,2,0,0,1
1,1,28,1,1,862,5,5,5,5,5,5,5,5,2,3,1,1,2,5,9,5,2
2,1,60,1,1,1833,4,4,4,4,1,4,5,4,4,4,4,1,4,2,0,0,2
2,1,48,1,1,1722,4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0,1
1,1,65,2,2,578,2,4,3,4,2,4,4,3,3,3,3,4,3,3,99,101,2
2,2,23,1,2,416,5,0,5,2,4,5,4,4,3,5,5,3,2,4,18,4,2
1,1,37,1,2,977,3,4,4,4,3,3,3,3,2,2,3,3,3,3,0,0,1
2,1,23,1,1,3095,5,5,5,5,5,5,3,5,2,5,4,3,3,5,9,0,1
2,1,32,1,1,738,4,4,4,4,4,4,4,4,4,2,4,3,3,4,0,3,2
2,1,67,2,2,719,3,3,3,4,1,3,1,1,2,2,3,1,5,1,24,14,2
2,1,60,1,1,2371,4,4,4,4,2,4,5,4,4,4,4,3,4,3,66,61,2
2,1,22,1,3,493,4,1,5,5,4,4,4,4,2,4,2,3,4,4,19,6,2
2,2,27,1,2,925,2,2,2,5,5,2,5,5,2,5,5,1,4,5,4,3,1
2,1,72,1,2,305,4,3,3,3,4,4,4,4,2,3,3,1,3,4,0,0,1
1,1,12,2,2,719,3,4,3,3,1,3,1,1,5,2,4,4,4,1,0,0,1
1,1,72,1,3,67,2,5,3,5,2,3,4,3,3,2,3,4,3,3,28,18,1
1,1,22,1,1,2809,2,2,2,2,5,5,5,5,3,4,4,5,4,5,36,28,2
1,1,46,2,1,119,4,0,4,1,5,5,4,4,4,4,4,3,4,3,13,32,2
2,1,54,1,1,1545,2,2,2,2,5,5,5,5,5,5,5,4,5,4,1,0,2
1,1,40,1,2,819,4,2,3,3,4,4,4,4,1,2,3,1,3,4,23,6,1
1,1,35,1,1,1658,2,2,5,2,1,2,1,5,5,5,3,3,5,3,6,6,2
1,1,62,1,2,128,4,3,3,3,2,5,1,5,5,4,5,3,5,1,0,16,2
1,1,55,2,2,349,2,3,2,3,2,3,5,2,2,2,2,5,2,3,0,0,1
1,1,15,2,2,89,3,5,3,4,5,3,1,5,5,5,4,3,5,5,0,0,1
2,1,67,2,2,157,4,1,4,3,5,4,5,5,4,5,3,4,3,5,45,33,1
2,1,43,1,1,2828,0,1,1,2,5,5,4,3,3,3,3,5,3,5,39,41,2
2,1,40,1,1,1959,3,3,3,3,4,4,4,4,3,5,5,4,5,4,209,191,2
2,1,47,1,1,3496,2,2,2,2,2,4,5,5,5,5,5,4,5,4,0,2,2
2,1,66,2,2,580,2,4,2,3,4,2,4,4,5,3,5,3,4,4,26,13,1
2,1,8,2,3,1201,2,5,2,3,3,2,3,3,4,2,1,5,5,3,24,14,1
1,2,37,1,1,372,5,5,5,4,4,5,4,4,4,4,5,3,4,4,11,0,2
2,1,51,1,3,1075,2,4,1,4,2,2,2,2,1,2,4,4,3,2,5,0,1
1,1,46,2,2,2586,3,1,3,3,3,4,4,2,4,4,3,4,1,4,59,57,2
1,2,21,1,3,903,4,3,4,4,1,4,1,1,4,5,3,1,4,1,35,28,2
1,1,36,1,1,3130,2,2,2,2,5,5,5,5,5,5,5,5,5,3,62,65,2
2,1,23,1,3,602,2,5,5,5,2,2,1,2,3,4,4,4,4,2,21,44,2
2,1,41,1,1,2789,3,3,2,3,4,3,3,4,4,3,4,3,4,5,10,0,1
2,1,67,2,2,2342,3,4,3,3,5,3,2,5,4,2,3,1,4,5,0,0,1
1,1,45,1,1,3712,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,2
1,1,56,2,2,1431,3,5,3,3,4,5,5,1,1,3,1,2,1,5,91,76,1
1,1,30,1,1,3720,2,1,1,1,2,3,2,2,2,4,3,3,4,2,27,12,1
1,1,30,1,1,2438,0,1,1,1,2,2,2,2,5,3,5,3,4,2,38,28,2
1,1,52,1,1,2917,5,5,5,5,5,5,5,3,4,4,4,5,3,5,15,32,1
2,1,50,1,1,1235,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0,2
2,1,30,1,1,1500,3,3,3,3,5,4,5,5,4,3,4,3,5,5,0,0,2
1,2,26,1,2,190,3,2,3,3,1,3,1,1,4,5,4,3,3,1,0,0,1
2,2,37,1,1,468,4,4,4,4,4,4,4,4,4,4,4,4,5,4,0,0,2
2,1,64,2,2,261,1,4,0,3,1,0,1,1,3,1,3,3,4,1,0,0,1
1,1,29,2,2,119,2,2,2,2,5,2,2,5,4,5,3,2,3,5,0,0,1
2,1,58,1,1,1721,3,3,3,3,3,4,5,4,4,4,4,4,4,5,18,0,2
1,1,23,2,3,1372,3,5,3,1,1,3,1,1,3,2,3,4,5,1,0,0,1
2,2,20,1,1,369,5,3,5,4,1,5,1,1,5,2,4,4,4,1,0,0,2
1,1,72,1,1,1870,2,1,1,1,3,4,4,2,2,2,2,1,2,4,0,0,1
2,1,27,2,2,429,4,5,4,3,3,4,1,3,5,3,4,4,4,3,0,0,1
2,1,25,1,1,1796,4,2,2,2,4,4,4,1,5,3,3,4,2,4,176,164,1
2,2,16,1,1,1107,3,4,3,3,1,3,3,1,1,5,3,2,4,1,0,0,1
1,2,36,1,1,327,2,2,2,3,5,2,5,5,5,4,5,3,4,5,0,0,1
2,1,50,1,1,1877,2,4,4,4,5,4,4,2,2,2,2,1,2,4,0,0,1
1,1,42,2,2,270,1,2,1,4,3,3,3,4,4,1,4,1,4,4,0,0,1
1,2,17,1,3,191,1,1,1,4,4,1,2,4,4,1,4,2,3,4,39,34,2
1,2,25,1,2,317,0,4,0,4,5,0,5,5,5,1,2,4,3,5,9,5,1
2,1,55,1,1,936,3,3,3,3,5,5,5,3,3,3,3,5,3,5,0,0,2
2,1,53,1,2,432,4,3,3,3,4,4,4,4,4,3,3,1,4,4,0,5,2
1,1,46,1,1,888,3,3,3,3,5,4,4,4,4,4,4,3,4,4,0,0,2
2,1,62,2,2,1061,0,5,0,3,5,0,5,5,4,4,5,5,5,5,0,0,2
1,1,53,1,1,216,5,5,4,5,5,5,4,5,5,5,5,5,5,4,0,0,1
2,1,57,1,1,2993,5,5,5,5,2,4,2,4,4,4,4,4,4,3,0,6,2
1,1,53,1,1,581,1,1,1,1,3,4,4,4,4,4,4,3,4,3,1,0,2
2,1,49,1,1,1938,2,2,2,2,3,4,5,4,4,4,4,5,4,4,22,21,2
1,1,37,1,3,174,5,3,5,3,5,5,5,5,5,1,5,3,5,5,0,0,2
2,1,35,1,2,326,4,2,2,2,4,4,4,4,2,5,5,5,3,4,0,0,1
2,1,30,1,1,1821,1,1,1,1,2,2,1,2,1,2,2,4,2,2,5,7,1
2,1,46,1,1,3995,4,4,4,4,3,4,4,5,5,5,5,5,5,4,0,0,2
1,1,51,1,1,1488,2,3,3,3,4,3,4,2,2,2,2,4,2,2,73,62,1
2,1,46,1,1,2491,3,3,3,3,4,4,5,4,4,4,4,5,4,3,0,0,1
1,1,12,2,2,944,2,2,2,4,1,2,1,1,1,4,4,1,4,1,20,15,1
2,1,25,1,1,496,4,4,4,4,4,4,4,4,3,2,5,4,5,4,0,0,1
1,1,63,1,1,329,2,2,2,2,5,1,5,4,4,4,4,4,4,3,0,0,2
1,1,48,1,1,402,1,1,1,1,4,5,5,4,4,4,4,5,4,3,0,4,1
1,1,43,1,1,3946,3,3,3,3,3,5,5,4,4,4,4,5,4,4,0,0,2
2,1,44,2,2,192,2,4,2,5,4,2,4,4,3,1,4,1,2,4,0,0,2
1,1,10,2,2,1440,1,4,1,4,4,1,4,4,5,3,3,5,5,4,0,7,1
1,1,42,2,2,798,1,1,1,3,5,2,2,3,3,1,3,3,3,3,1,4,1
2,1,32,1,1,3607,1,1,1,1,5,5,5,5,4,2,5,1,5,5,0,0,2
2,1,24,2,2,1096,2,5,2,3,1,2,1,1,5,4,4,3,1,1,1,0,1
2,1,29,1,1,2542,5,5,4,5,5,5,5,5,5,2,1,3,2,5,18,55,1
1,1,48,1,3,907,4,2,2,2,5,5,3,4,4,4,4,2,4,5,0,1,2
2,2,25,1,2,1258,3,3,3,3,3,2,2,1,2,3,3,2,1,2,199,185,1
1,1,35,1,1,602,4,4,4,4,3,5,5,2,2,2,2,5,2,4,0,0,2
2,1,52,1,1,3245,4,4,4,4,2,3,3,5,5,5,5,4,5,3,93,77,2
1,1,17,1,2,677,0,3,0,3,4,3,4,4,4,5,5,5,5,4,0,0,2
1,1,30,2,2,1616,2,4,3,1,1,3,1,1,3,2,4,4,5,1,70,89,1
1,1,38,1,1,285,5,5,5,5,1,1,3,4,4,4,4,5,4,5,0,0,1
1,2,38,1,1,1189,1,1,1,3,3,1,3,3,5,5,5,3,5,3,3,0,2
2,2,23,1,2,1021,2,2,2,3,3,2,3,3,3,5,5,5,4,3,0,0,2
1,1,39,1,1,2442,5,4,5,5,2,4,4,4,4,4,4,4,4,4,80,86,1
1,2,25,1,1,545,3,5,3,1,5,3,5,5,4,4,5,3,5,5,0,2,1
1,1,9,2,3,804,1,5,1,3,1,1,1,1,5,2,5,3,5,1,0,0,2
1,2,26,1,1,569,0,0,0,3,3,0,1,3,4,2,4,5,4,3,96,91,2
2,1,51,1,1,3991,5,5,5,5,3,4,5,4,4,3,4,5,4,3,0,0,1
2,1,40,1,1,1620,2,2,2,2,4,3,4,5,5,5,5,4,5,5,0,0,2
1,1,41,1,1,209,4,4,4,4,1,3,3,2,2,2,4,1,2,2,95,100,1
1,1,39,1,1,3081,5,5,5,5,2,5,4,2,2,2,2,3,2,4,7,0,2
1,2,20,1,2,859,3,4,4,3,4,4,4,4,3,1,3,2,3,4,3,24,1
1,1,69,2,2,1055,2,5,2,1,3,4,5,2,2,2,2,5,2,3,29,17,1
1,1,10,1,2,632,3,4,4,4,3,3,2,3,3,2,4,4,4,3,44,40,1
2,1,44,1,1,833,2,2,2,2,3,5,4,4,4,4,4,3,4,4,15,1,2
1,1,68,2,2,1288,2,5,2,3,4,3,5,4,4,2,4,4,4,5,6,24,1
1,1,46,1,2,645,3,2,2,2,3,3,3,2,1,2,4,3,3,3,141,139,2
2,1,48,1,1,3185,2,2,2,2,5,5,4,5,5,5,5,5,5,5,0,0,2
1,1,46,1,1,2981,1,1,1,1,2,5,4,5,5,5,5,3,5,3,1,0,2
1,1,48,2,2,296,2,5,4,3,4,4,4,2,2,4,2,3,2,3,0,0,1
2,1,63,2,2,391,3,4,3,5,5,3,4,5,3,4,5,3,5,5,0,4,1
1,1,24,1,1,3536,5,5,5,5,4,4,4,4,3,5,5,3,5,4,0,0,2
1,1,52,2,2,247,4,4,0,2,5,4,4,5,5,0,5,3,5,3,0,0,2
2,1,47,1,1,728,1,1,1,1,1,3,2,5,5,5,5,1,5,3,0,0,2
2,1,45,1,1,3692,2,2,2,2,1,2,2,2,2,2,2,3,2,4,63,52,2
1,1,44,1,1,3979,4,4,4,4,3,5,5,4,4,4,4,3,4,3,0,0,2
1,1,47,1,1,3546,2,2,2,2,4,2,2,2,2,2,2,2,2,2,19,21,1
1,1,57,1,1,177,5,5,5,5,1,1,1,5,5,5,3,4,5,5,91,128,2
1,1,34,1,1,760,4,4,4,4,4,4,4,3,3,3,3,3,3,3,6,0,2
1,1,26,1,2,2378,4,5,5,5,4,5,5,4,3,2,5,4,5,4,4,0,2
2,2,22,1,2,251,1,0,1,3,2,1,3,2,4,2,5,4,3,2,0,0,1
2,1,51,1,1,406,5,5,5,5,5,4,5,4,4,4,4,4,4,4,9,4,2
2,1,40,1,1,3764,1,1,1,1,4,5,4,4,4,5,4,4,4,3,16,3,2
2,1,62,1,2,696,3,3,5,3,2,3,2,2,2,5,2,3,2,2,24,1,1
2,1,38,1,1,2930,2,5,5,5,2,4,4,2,2,2,2,4,2,3,7,23,2
2,1,44,1,1,192,5,5,5,5,3,5,4,5,5,5,5,3,5,3,23,13,2
1,1,10,2,3,338,1,5,3,3,5,3,4,5,4,2,4,5,4,5,0,0,1
2,1,69,1,1,3714,4,1,1,1,1,2,2,4,4,4,4,3,4,1,0,0,1
1,1,49,1,1,90,4,4,2,4,3,4,4,4,4,4,4,4,4,3,0,0,1
1,1,29,2,3,802,2,3,2,4,2,2,2,2,3,2,4,4,3,2,0,0,1
1,1,53,1,3,676,2,5,5,5,5,4,4,2,2,2,2,1,2,3,0,0,1
2,1,7,2,1,1034,2,4,2,2,2,4,4,5,5,2,3,4,2,4,143,121,1
1,1,65,2,1,1042,4,5,4,4,3,5,4,4,4,4,2,5,4,5,48,30,2
1,1,8,2,2,597,4,4,4,2,2,4,2,2,5,4,5,4,4,2,0,6,1
2,1,26,2,3,2556,3,2,3,3,3,4,4,4,1,2,4,4,4,4,0,33,1
1,2,21,1,2,192,3,3,3,4,1,3,1,1,4,2,3,1,3,1,0,0,1
1,1,49,2,2,484,3,4,3,3,3,5,4,4,4,3,4,5,4,3,0,0,1
2,2,21,1,2,1444,5,4,4,1,5,1,1,4,4,5,4,1,3,1,1,2,2
1,2,38,1,1,1389,5,5,5,1,2,5,2,2,4,5,5,3,4,2,3,0,2
1,1,42,1,1,1846,1,2,2,2,5,2,3,1,1,1,1,2,1,4,0,0,1
2,2,26,1,1,285,1,2,1,2,3,1,3,3,4,2,3,1,2,3,0,3,1
2,1,12,2,2,2342,3,1,3,4,4,3,3,4,2,3,4,3,3,4,31,22,2
1,1,32,1,2,163,2,4,4,4,2,2,2,2,3,2,4,2,3,2,0,0,1
1,1,38,1,1,261,2,2,5,2,4,5,3,4,4,4,4,3,4,3,0,0,2
2,1,19,2,2,888,2,4,2,3,1,2,1,1,4,4,4,5,4,1,1,0,1
1,1,43,2,2,301,3,4,3,3,5,4,5,4,4,3,2,4,4,5,0,0,1
2,1,45,1,1,3052,1,1,5,1,3,5,4,3,3,3,3,5,3,3,0,0,2
1,1,58,2,2,2405,5,2,5,4,2,3,4,3,3,5,3,2,3,2,10,0,2
2,2,25,1,2,2585,3,3,3,4,3,3,3,3,2,5,4,3,4,3,0,0,1
1,1,68,2,2,666,4,3,4,2,1,5,2,1,1,4,1,5,1,5,2,0,2
1,1,64,1,1,3239,3,5,3,3,3,5,4,4,4,5,4,3,4,3,0,0,2
2,1,57,1,1,2718,2,2,2,2,3,5,5,5,5,5,5,4,5,4,2,0,2
1,1,43,1,1,362,4,4,4,4,4,4,3,4,4,3,4,3,4,3,47,45,1
2,2,30,1,2,813,3,2,2,3,3,2,3,3,4,1,4,3,3,3,105,105,1
2,1,23,1,1,1698,2,2,2,2,5,5,5,5,3,2,1,4,3,5,101,126,2
2,2,37,1,1,148,4,4,4,2,4,4,3,4,3,4,5,4,5,4,1,0,2
2,1,54,1,1,544,2,2,2,2,5,5,5,4,4,4,4,4,4,5,0,0,2
1,1,40,1,1,3011,5,5,5,5,4,5,5,5,5,4,5,5,5,4,9,56,2
2,1,47,1,2,783,5,2,2,2,5,5,5,5,4,1,1,4,5,5,0,0,1
1,1,40,1,3,809,4,2,4,2,4,4,4,4,4,3,2,4,4,4,118,100,2
1,1,45,1,2,175,3,1,1,1,1,1,5,3,3,3,3,3,3,1,0,0,2
1,1,42,1,1,2243,5,5,4,5,4,5,4,2,2,2,2,3,2,5,18,18,1
1,2,42,1,2,1874,3,3,3,3,3,3,3,3,5,3,3,2,3,3,0,5,1
2,2,27,1,2,326,3,3,3,2,5,3,5,5,1,1,1,4,5,5,5,0,1
2,2,38,1,1,130,4,4,4,4,1,4,1,1,4,3,4,3,5,1,15,8,1
2,1,46,1,1,2074,4,4,4,4,3,3,2,4,4,3,4,4,4,3,27,45,1
1,1,53,1,1,1744,3,3,3,3,4,3,5,2,2,2,2,4,2,4,0,4,1
2,1,39,1,1,1979,3,3,3,3,3,5,4,4,4,4,4,3,4,3,0,0,2
2,1,29,2,2,992,2,4,2,3,5,2,5,5,4,3,5,4,4,5,0,10,1
1,1,42,1,1,2274,2,2,2,2,3,2,2,5,5,5,5,3,5,3,0,0,2
2,1,48,1,1,1851,1,2,1,1,2,5,5,4,4,4,4,5,4,4,0,0,2
2,2,20,1,2,1269,2,2,2,4,3,2,3,3,3,3,3,3,4,3,0,0,1
1,2,36,1,2,965,3,3,3,3,3,3,3,3,4,3,1,5,4,3,4,11,1
2,1,64,2,2,1728,4,1,4,3,1,4,1,1,3,1,3,2,4,1,18,24,1
1,1,64,2,3,213,2,0,2,1,5,5,5,5,5,2,5,5,5,5,0,6,1
2,1,10,2,2,325,3,4,3,4,1,3,1,1,3,1,4,3,2,1,13,5,2
1,1,43,1,1,253,5,5,5,5,5,2,1,5,5,5,5,3,5,5,0,0,2
1,1,16,1,1,2899,5,5,5,5,4,4,4,3,5,5,5,4,3,4,220,212,2
2,1,47,2,2,1749,3,5,3,2,5,3,5,5,3,1,5,1,5,5,0,3,1
1,1,13,1,3,1384,4,5,5,5,4,1,4,3,1,4,3,4,2,4,141,126,1
